signal c1bcc
type 0
comment created using xlabel Tue Aug 29 11:47:10 2000
comment created using xlabel Mon Jul 13 14:02:37 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.238486  -1  H*
    0.420962  -1  L*H
    0.784556  -1  L*H
    1.330905  -1  L*H
    1.748208  -1  0%
signal c1brg
type 0
comment created using xlabel Tue Aug 29 11:45:50 2000
comment created using xlabel Mon Jul 13 14:05:56 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.215699  -1  H*
    0.649757  -1  L*H
    1.233023  -1  L*H
    1.551379  -1  0%
signal f2bcc
type 0
comment created using xlabel Wed Jun  5 15:31:03 2002
comment created using xlabel Tue Jul 28 16:29:14 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    5.010273   -1 L*H
    5.167036   -1 %
    5.695651   -1 L%
    6.263540   -1 H*
    6.612332   -1 !H*
    7.131685   -1 L*H
    7.379727   -1 %
    7.738734   -1 H*
    8.071632   -1 L*H
    8.495914   -1 %
    9.207404   -1 H*L
    9.526965   -1 %
   10.375810   -1 %
   11.035081   -1 H*
   11.407143   -1 !H*L
   11.596438   -1 %
   11.713931   -1 H*
   12.007664   -1 L*H
   12.216541   -1 %
   13.313149   -1 H*
   13.600355   -1 L*H
   14.089910   -1 %
   14.599048   -1 L*H
   15.023330   -1 %
   15.486776   -1 H*
   15.852310   -1 %
   16.185210   -1 H*L
   17.875809   -1 L*H
   18.149960   -1 %
   19.070327   -1 H*
   19.468499   -1 L*H
   19.827507   -1 %
   20.069021   -1 L*H
   20.630378   -1 %
   21.635601   -1 L*H
   22.132224   -1 L%
   22.273562   -1 H*
   23.613408   -1 L*H
   23.874504   -1 %
   24.579467   -1 L*H
   25.460667   -1 L*H
   25.902046   -1 L*H
   26.243956   -1 L*H
   26.531162   -1 %
   27.327508   -1 H*
   28.241345   -1 L*H
   28.730901   -1 %
   29.357953   -1 H*L
   29.808600   -1 L*H
   30.197098   -1 L%
   30.485054   -1 H*
   30.716615   -1 !H*L
   31.230902   -1 %
   31.407142   -1 H*L
   31.857533   -1 %
   32.412365   -1 H*
   32.909509   -1 !H*
   33.136907   -1 !H*L
   33.502207   -1 %
   33.952833   -1 H*
   34.455444   -1 L*H
   35.082075   -1 L*H
   35.425562   -1 L%
   36.296176   -1 H*
   37.190431   -1 L*H
   37.569021   -1 %
   39.285730   -1 H*
   39.514190   -1 L*H
   39.866670   -1 %
   39.951530   -1 H*
   40.486777   -1 L*H
   40.839257   -1 %
   41.159100   -1 H*
   41.498525   -1 L*H
   41.669243   -1 %
   41.929334   -1 H*
   42.255705   -1 L*H
   42.738733   -1 %
   43.058576   -1 %H
   43.450220   -1 L*H
   43.600829   -1 %
   43.926721   -1 %
   45.023330   -1 %H
   45.147351   -1 !H*
   45.663016   -1 L*H
   46.596435   -1 H*
   46.942388   -1 L*H
   47.601656   -1 L*H
   47.869280   -1 %
   48.782362   -1 H*
   48.906383   -1 L*H
   49.123647   -1 %
   49.539541   -1 %
   50.316303   -1 H*
   50.680095   -1 !H*
   51.627780   -1 L*H
   51.882881   -1 %
signal w1bcc
type 0
comment created using xlabel Fri Jul  7 11:53:54 2000
comment created using xlabel Fri Jul 10 16:13:58 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.218762  -1  H*
    0.734790  -1  L*H
    1.016694  -1  0%
signal w1brg
type 0
comment created using xlabel Fri Jul  7 11:52:31 2000
comment created using xlabel Fri Jul 10 16:39:57 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.264864  -1  H*
    0.525979  -1  L*H
    0.735764  -1  0%
signal c1cer
type 0
comment created using xlabel Tue Aug 29 11:13:20 2000
comment created using xlabel Wed Feb 11 09:43:43 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.100823  -1  H*L
    0.743615  -1  !H*L
    1.178509  -1  H*L
    1.647081  -1  0%
signal c1cma
type 0
comment created using xlabel Tue Aug 29 11:11:43 2000
comment created using xlabel Tue Feb 10 10:34:28 1998
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    0.196972  -1  H*
    0.744649  -1  !H*L
    1.189036  -1  !H*L
    1.671260  -1  0%
signal cambridge/c-free-f.wav
type 0
comment created using xlabel Thu May  2 14:23:27 2002
comment created using xlabel Tue Apr 23 09:48:39 2002
font -*-times-medium-r-*-*-17-*-*-*-*-*-*-*
separator ;
nfields 1
#
    1.396811   -1 H*L
    1.879927   -1 H*L
    3.230774   -1 #
    4.012195   -1 H*L
    4.579739   -1 H*L
    5.170734   -1 %
    5.475048   -1 H*L
    6.586683   -1 #
    6.815197   -1 H*L
    7.809570   -1 H*L
    8.667921   -1 H*L
    9.212013   -1 H*L
    9.634153   -1 %
   10.363978   -1 H*L
   11.212948   -1 H*
   11.428709   -1 H*L
   11.958729   -1 H*L
   12.277679   -1 %
   12.848595   -1 %
   14.081239   -1 H*L
   14.414261   -1 H*L
   14.611259   -1 H*L
   14.869234   -1 H*L
   15.704133   -1 H*L
   16.337342   -1 %
   16.828897   -1 H*
   16.946158   -1 #
   17.143157   -1 H*L
   18.061354   -1 %
   18.263043   -1 H*L
   18.694563   -1 H*L
   21.675237   -1 H*L
   23.007322   -1 H*L
   23.542033   -1 %
   24.127208   -1 #
   25.303568   -1 H*L
   26.058729   -1 H*L
   26.312013   -1 %
   27.342403   -1 H*
   27.483117   -1 #
   27.750472   -1 H*
   28.064732   -1 !H*L
   28.801131   -1 %
   29.245217   -1 #
   30.056663   -1 H*L
   31.182369   -1 H*L
   31.562295   -1 %
   32.306757   -1 %
   33.413137   -1 H*L
   34.027585   -1 H*L
   34.430963   -1 %
   35.001879   -1 H*L
   35.438090   -1 !H*
   35.916515   -1 L*H
   36.122894   -1 H%
   37.242780   -1 #
   37.748406   -1 H*L
   38.489496   -1 H*L
   39.113325   -1 H*L
   39.943533   -1 %
   41.363043   -1 %
   42.083676   -1 H*L
   42.275984   -1 %
   42.885742   -1 H*L
   43.682928   -1 %
   43.846529   -1 H*
   44.639214   -1 !H*L
   44.822141   -1 %
   45.210694   -1 H*
   45.670358   -1 !H*
   46.556851   -1 H*L
   47.179927   -1 H*L
   47.499630   -1 %
   47.704315   -1 H*L
   48.633023   -1 H*L
   48.876926   -1 %
   49.410883   -1 #
   50.058164   -1 H*L
   51.207322   -1 H*L
   51.690438   -1 H*
   51.882746   -1 %
   52.209759   -1 H*L
   52.641279   -1 %
   54.117262   -1 H*L
   55.125707   -1 H*L
   55.795499   -1 H*L
   56.133211   -1 H*L
   57.037764   -1 %
   57.333262   -1 H*L
   57.886734   -1 H*L
   58.416754   -1 H*L
   58.923322   -1 H*L
   58.979607   -1 %
   59.336081   -1 H*L
   59.659721   -1 L*H
   59.795744   -1 H%
signal cambridge/c-free-m.wav
type 0
comment created using xlabel Thu May  2 12:47:34 2002
comment created using xlabel Tue Apr 23 09:30:03 2002
